episode,train_return,train_shared_return,train_shared_per_step,train_steps,eval_shared_return,eval_shared_per_step,eval_steps
1,96.0,-374.81841268857244,-0.3748184126885724,1000,-364.062973804296,-0.36406297380429603,1000
2,244.0,-360.0747269804243,-0.3600747269804243,1000,-364.062973804296,-0.36406297380429603,1000
3,96.0,-360.7895127893077,-0.3607895127893077,1000,-364.062973804296,-0.36406297380429603,1000
4,62.0,-379.0055597207978,-0.3790055597207978,1000,-364.062973804296,-0.36406297380429603,1000
5,134.0,-361.8727194744858,-0.3618727194744858,1000,-362.9392301128016,-0.3629392301128016,1000
6,204.0,-178.05031348699475,-0.17805031348699477,1000,-161.46314791643013,-0.16146314791643013,1000
7,198.0,-169.8204699256619,-0.1698204699256619,1000,-316.08450091913664,-0.31608450091913665,1000
8,110.0,-383.3579957854002,-0.3833579957854002,1000,-537.9338703520278,-0.5379338703520279,1000
9,476.0,-550.3237935976384,-0.5503237935976384,1000,-603.0237708635595,-0.6030237708635595,1000
10,616.0,-544.4553955316627,-0.5444553955316627,1000,-498.6695100242824,-0.4986695100242824,1000
11,918.0,-345.72328352738805,-0.34572328352738807,1000,-274.53736704865923,-0.2745373670486592,1000
12,970.0,-318.7336227992384,-0.3187336227992384,1000,-300.50335525431717,-0.30050335525431715,1000
13,986.0,-315.95010154676976,-0.3159501015467698,1000,-293.1174171032931,-0.29311741710329314,1000
14,966.0,-310.97868078165294,-0.3109786807816529,1000,-294.15522713675296,-0.29415522713675296,1000
15,958.0,-329.5110870556822,-0.3295110870556822,1000,-294.9505957966015,-0.2949505957966015,1000
16,974.0,-320.5255514664185,-0.3205255514664185,1000,-296.7499432255756,-0.2967499432255756,1000
17,974.0,-326.9624625147896,-0.3269624625147896,1000,-296.19172703014056,-0.2961917270301406,1000
18,944.0,-309.0922124326642,-0.3090922124326642,1000,-297.7330293119717,-0.29773302931197165,1000
19,992.0,-344.5254603394596,-0.3445254603394596,1000,-311.4570543243666,-0.3114570543243666,1000
20,964.0,-311.7738310180674,-0.31177383101806744,1000,-304.58256907818026,-0.30458256907818027,1000
21,964.0,-331.8752106374455,-0.3318752106374455,1000,-286.42454803711894,-0.2864245480371189,1000
22,874.0,-309.53422007565916,-0.30953422007565917,1000,-250.1107316845341,-0.2501107316845341,1000
23,684.0,-248.3163995582836,-0.24831639955828358,1000,-262.67296793319014,-0.2626729679331901,1000
24,834.0,-298.348870299016,-0.298348870299016,1000,-271.0010159281597,-0.27100101592815967,1000
25,838.0,-284.1732175957422,-0.2841732175957422,1000,-257.8435776816631,-0.2578435776816631,1000
26,862.0,-276.7223172320224,-0.2767223172320224,1000,-241.19058920798716,-0.24119058920798717,1000
27,788.0,-267.0174464806131,-0.2670174464806131,1000,-251.6593266330983,-0.2516593266330983,1000
28,772.0,-279.66823375292444,-0.27966823375292443,1000,-255.20580231037772,-0.2552058023103777,1000
